no,seq,time_epoch,retransmission,out_of_order
20555,18114017,1716238939.083668000,,
20556,18115338,1716238939.087203000,,
20558,18117980,1716238939.089189000,,
20560,18123264,1716238939.089279000,,
20561,18124585,1716238939.089369000,,
20563,18125906,1716238939.089627000,,
20564,18127227,1716238939.090170000,,
20566,18128548,1716238939.090276000,,
20567,18129869,1716238939.100733000,,
20568,18132511,1716238939.100733000,,
20570,18133832,1716238939.100827000,,
20571,18135153,1716238939.100932000,,
20573,18136474,1716238939.101067000,,
20574,18137795,1716238939.101112000,,
20576,18139116,1716238939.101321000,,
20577,18140437,1716238939.101398000,,
20579,18141758,1716238939.101525000,,
20580,18143079,1716238939.101634000,,
20582,18144400,1716238939.101746000,,
20583,18151005,1716238939.101837000,,
20585,18153647,1716238939.111662000,,
20587,18156289,1716238939.111759000,,
20589,18157610,1716238939.111844000,,
20591,18158931,1716238939.112055000,,
20593,18160252,1716238939.112071000,,
20595,18161573,1716238939.112181000,,
20597,18162894,1716238939.112400000,,
20599,18164215,1716238939.112450000,,
20601,18165536,1716238939.112562000,,
20603,18166857,1716238939.112663000,,
20605,18168178,1716238939.112767000,,
20607,18169499,1716238939.112928000,,
20609,18170820,1716238939.123363000,,
20611,18145721,1716238939.124757000,1,
20613,18173462,1716238939.124801000,,
20615,18174783,1716238939.124891000,,
20617,18176104,1716238939.125018000,,
20619,18177425,1716238939.125138000,,
20621,18178746,1716238939.134118000,,
20623,18147042,1716238939.138158000,1,
20624,18180067,1716238939.138158000,,
20627,18182709,1716238939.138275000,,
20629,18184030,1716238939.138373000,,
20631,18185351,1716238939.138545000,,
20633,18186672,1716238939.145367000,,
20635,18148363,1716238939.149018000,1,
20637,18187993,1716238939.149921000,,
20639,18189314,1716238939.150051000,,
20641,18190635,1716238939.150114000,,
20643,18191956,1716238939.150189000,,
20645,18193277,1716238939.150395000,,
20647,18194598,1716238939.156619000,,
20649,18149684,1716238939.162364000,1,
20650,18195919,1716238939.162364000,,
20653,18197240,1716238939.162454000,,
20655,18198561,1716238939.162578000,,
20657,18199882,1716238939.163830000,,
20658,18201203,1716238939.163830000,,
20668,18203845,1716238939.166474000,,
20670,18152326,1716238939.173584000,1,
20671,18205166,1716238939.173584000,,
20676,18206487,1716238939.174785000,,
20677,18207808,1716238939.174905000,,
20679,18209129,1716238939.175012000,,
20680,18210450,1716238939.175226000,,
20682,18211771,1716238939.175347000,,
20683,18213092,1716238939.175838000,,
20685,18214413,1716238939.184528000,,
20687,18217055,1716238939.184648000,,
20688,18218376,1716238939.184828000,,
20690,18219697,1716238939.185835000,,
20691,18221018,1716238939.185920000,,
20693,18222339,1716238939.186024000,,
20694,18223660,1716238939.186146000,,
20696,18224981,1716238939.186316000,,
20697,18226302,1716238939.186412000,,
20699,18227623,1716238939.186506000,,
20700,18228944,1716238939.186794000,,
20702,18230265,1716238939.186898000,,
20703,18231586,1716238939.194873000,,
20705,18232907,1716238939.194950000,,
20706,18234228,1716238939.195104000,,
20708,18235549,1716238939.195276000,,
20709,18236870,1716238939.196372000,,
20711,18238191,1716238939.196475000,,
20712,18239512,1716238939.196595000,,
20714,18240833,1716238939.196756000,,
20715,18242154,1716238939.196847000,,
20717,18243475,1716238939.196939000,,
20718,18244796,1716238939.197013000,,
20720,18246117,1716238939.197988000,,
20721,18247438,1716238939.198073000,,
20723,18248759,1716238939.205617000,,
20724,18250080,1716238939.205641000,,
20726,18251401,1716238939.205753000,,
20727,18252722,1716238939.205912000,,
20729,18254043,1716238939.206269000,,
20730,18255364,1716238939.206359000,,
20732,18256685,1716238939.206554000,,
20733,18258006,1716238939.206657000,,
20735,18259327,1716238939.206758000,,
20736,18260648,1716238939.206848000,,
20738,18261969,1716238939.207176000,,
20739,18263290,1716238939.209250000,,
20741,18264611,1716238939.209292000,,
20742,18265932,1716238939.209446000,,
20744,18267253,1716238939.215753000,,
20746,18269895,1716238939.216018000,,
20747,18271216,1716238939.217979000,,
20749,18272537,1716238939.218008000,,
20750,18273858,1716238939.218147000,,
20751,18275179,1716238939.218147000,,
20753,18276500,1716238939.218266000,,
20755,18277821,1716238939.218435000,,
20756,18279142,1716238939.218532000,,
20758,18280463,1716238939.219326000,,
20759,18281784,1716238939.219449000,,
20761,18283105,1716238939.219623000,,
20762,18284426,1716238939.219632000,,
20764,18285747,1716238939.219718000,,
20765,18287068,1716238939.226755000,,
20767,18288389,1716238939.226840000,,
20768,18289710,1716238939.228261000,,
20770,18291031,1716238939.228325000,,
20771,18292352,1716238939.228447000,,
20773,18293673,1716238939.228546000,,
20774,18294994,1716238939.228655000,,
20776,18296315,1716238939.228784000,,
20777,18297636,1716238939.228916000,,
20779,18298957,1716238939.229291000,,
20780,18300278,1716238939.229398000,,
20782,18301599,1716238939.229494000,,
20783,18302920,1716238939.229592000,,
20785,18304241,1716238939.229672000,,
20786,18305562,1716238939.236890000,,
20788,18306883,1716238939.243267000,,
20789,18308204,1716238939.243267000,,
20791,18310846,1716238939.243466000,,
20792,18312167,1716238939.243529000,,
20794,18313488,1716238939.243640000,,
20795,18314809,1716238939.243732000,,
20797,18316130,1716238939.243888000,,
20798,18317451,1716238939.243948000,,
20800,18318772,1716238939.244078000,,
20801,18320093,1716238939.244179000,,
20803,18321414,1716238939.244268000,,
20804,18324056,1716238939.246570000,,
20806,18326698,1716238939.247666000,,
20808,18328019,1716238939.256546000,,
20810,18331982,1716238939.256610000,,
20812,18333303,1716238939.256756000,,
20814,18334624,1716238939.256877000,,
20816,18335945,1716238939.256926000,,
20818,18337266,1716238939.257083000,,
20820,18338587,1716238939.257236000,,
20822,18341229,1716238939.257383000,,
20824,18342550,1716238939.257487000,,
20826,18343871,1716238939.257684000,,
20828,18345192,1716238939.268349000,,
20829,18322735,1716238939.268349000,1,
20832,18346513,1716238939.268417000,,
20834,18347834,1716238939.268624000,,
20836,18350476,1716238939.268663000,,
20837,18351797,1716238939.279994000,,
20839,18353118,1716238939.280886000,,
20840,18354439,1716238939.281032000,,
20842,18355760,1716238939.281087000,,
20843,18357081,1716238939.281213000,,
20845,18358402,1716238939.281377000,,
20846,18359723,1716238939.281453000,,
20848,18361044,1716238939.281593000,,
20849,18362365,1716238939.291922000,,
20850,18366328,1716238939.292015000,,
20851,18367649,1716238939.292089000,,
20853,18368970,1716238939.292226000,,
20854,18370291,1716238939.292370000,,
20856,18371612,1716238939.292464000,,
20857,18372933,1716238939.292633000,,
20859,18374254,1716238939.292733000,,
20860,18375575,1716238939.302634000,,
20862,18376896,1716238939.313271000,,
20864,18379538,1716238939.313395000,,
20865,18380859,1716238939.313473000,,
20867,18382180,1716238939.313596000,,
20868,18383501,1716238939.313674000,,
20870,18384822,1716238939.313832000,,
